Hotel_ID,Hotel_Name,Raw_Hotel_Name,Location,City,State,Landmark,Address
155737,Flagship Hotel Lakhnavi Inn,Flagship Hotel Lakhnavi Inn,Lucknow,Lucknow,Uttar Pradesh,,"Lucknow, Uttar Pradesh"
155761,OYO Flagship 83435 SR Grand,OYO Flagship 83435 SR Grand,Gorakhpur,Gorakhpur,Uttar Pradesh,,"Gorakhpur, Uttar Pradesh"
155765,Collection O Hotel The Lemongrass,Collection O Hotel The Lemongrass,Prayagraj,Prayagraj,Uttar Pradesh,,"Prayagraj, Uttar Pradesh"
155767,OYO Flagship Surprise Farm House,OYO Flagship Surprise Farm House,Aligarh,Aligarh,Uttar Pradesh,,"Aligarh, Uttar Pradesh"
155768,Townhouse 664 Hotel Shiv Rachna,Townhouse 664 Hotel Shiv Rachna,Jaipur,Jaipur,Rajasthan,,"Jaipur, Rajasthan"
155788,Flagship Hotel Patil 2,Flagship Hotel Patil 2,Nagpur,Nagpur,Maharashtra,,"Nagpur, Maharashtra"
155831,OYO Townhouse 703 Super-3 Govind Nagar,OYO Townhouse 703 Super-3 Govind Nagar,Kanpur,Kanpur,Uttar Pradesh,,"Kanpur, Uttar Pradesh"
155835,OYO Hr 10 Hotel,OYO Hr 10 Hotel,Sonipat,Sonipat,Haryana,,"Sonipat, Haryana"
155847,Flagship Kb Residency,Flagship Kb Residency,Chennai,Chennai,Tamil Nadu,,"Chennai, Tamil Nadu"
155925,Collection O Golden Galaxy Inn,Collection O Golden Galaxy Inn,Lucknow,Lucknow,Uttar Pradesh,,"Lucknow, Uttar Pradesh"
155931,OYO Townhouse 632 Pisto Inn,OYO Townhouse 632 Pisto Inn,Jaipur,Jaipur,Rajasthan,,"Jaipur, Rajasthan"
155943,OYO Hotel Sai Nanda,OYO Hotel Sai Nanda,Shirdi,Shirdi,Maharashtra,,"Shirdi, Maharashtra"
155954,Townhouse OAK Hi-City,Townhouse OAK Hi-City,Guwahati,Guwahati,Assam,,"Guwahati, Assam"
155968,Super OYO Collection O Yamuna Palace,Super OYO Collection O Yamuna Palace Near Gomti Riverfront Park,Lucknow,Lucknow,Uttar Pradesh,Near Gomti Riverfront Park,"Near Gomti Riverfront Park, Lucknow, Uttar Pradesh"
155989,Collection O The Oaks Residency,Collection O The Oaks Residency,Chennai,Chennai,Tamil Nadu,,"Chennai, Tamil Nadu"
155993,Flagship Hotel Global Stay,Flagship Hotel Global Stay,Delhi_Transit,Delhi (Transit),Delhi,"Near IGI Airport, Mahipalpur","Near IGI Airport, Mahipalpur, Delhi"
156018,Super OYO Collection O Oak Wood Inn,Super OYO Collection O Oak Wood Inn,Dehradun,Dehradun,Uttarakhand,,"Dehradun, Uttarakhand"
156031,Collection O Sapphire,Collection O Sapphire,Chandigarh,Chandigarh,Chandigarh,,Chandigarh
156040,OYO The Nine Hotel Mansarovar,OYO The Nine Hotel Mansarovar,Jaipur,Jaipur,Rajasthan,,"Jaipur, Rajasthan"
156059,Collection O Lala Homes,Collection O Lala Homes,Kochi,Kochi,Kerala,,"Kochi, Kerala"
156089,Capital O The Fortune,Capital O The Fortune,Indore,Indore,Madhya Pradesh,,"Indore, Madhya Pradesh"
156101,Super OYO Collection O Hotel Grand Capitol-2,Super OYO Collection O Hotel Grand Capitol-2,Jaipur,Jaipur,Rajasthan,,"Jaipur, Rajasthan"
156155,OYO Hotel The Knight,OYO Hotel The Knight,Jaipur,Jaipur,Rajasthan,,"Jaipur, Rajasthan"
156159,OYO Flagship 83777 Sima Inn,OYO Flagship 83777 Sima Inn,Kolkata,Kolkata,West Bengal,,"Kolkata, West Bengal"
156176,SPOT ON Ganguly Hotel Lodging And Fooding,SPOT ON Ganguly Hotel Lodging And Fooding,Purulia,Purulia,West Bengal,,"Purulia, West Bengal"
156282,Collection O Hotel Fern,Collection O Hotel Fern,Zirakpur,Zirakpur,Punjab,,"Zirakpur, Punjab"
156985,Townhouse OAK Hotel Vinnie,Townhouse OAK Hotel Vinnie,Jaipur,Jaipur,Rajasthan,,"Jaipur, Rajasthan"
158728,Townhouse OAK Horizon Holidays,Townhouse OAK Horizon Holidays,Lonavala,Lonavala,Maharashtra,,"Lonavala, Maharashtra"
159705,OYO Home Narmada Homestay,OYO Home Narmada Homestay,Vadodara,Vadodara,Gujarat,,"Vadodara, Gujarat"
160753,Collection O 83969 Hotel Golden Grand Inn,Collection O 83969 Hotel Golden Grand Inn Near Kengeri Bus Terminal Metro Station,Bangalore,Bangalore,Karnataka,Near Kengeri Bus Terminal Metro Station,"Near Kengeri Bus Terminal Metro Station, Bangalore, Karnataka"
160941,Super OYO Collection O 83988 Hotel Sun Palace,Super OYO Collection O 83988 Hotel Sun Palace,Udaipur,Udaipur,Rajasthan,,"Udaipur, Rajasthan"
161125,Super OYO Hotel Welcome,Super OYO Hotel Welcome,Aligarh,Aligarh,Uttar Pradesh,,"Aligarh, Uttar Pradesh"
161291,OYO Hotel Bella Ciao,OYO Hotel Bella Ciao,Ludhiana,Ludhiana,Punjab,,"Ludhiana, Punjab"
161303,Flagship Hotel Redbull,Flagship Hotel Redbull,Udaipur,Udaipur,Rajasthan,,"Udaipur, Rajasthan"
161390,Flagship Grand Residency,Flagship Grand Residency,Chennai,Chennai,Tamil Nadu,,"Chennai, Tamil Nadu"
161485,OYO Hotel Royal Orbit Mahipalpur,OYO Hotel Royal Orbit Mahipalpur,Delhi_Transit,Delhi (Transit),Delhi,"Near IGI Airport, Mahipalpur","Near IGI Airport, Mahipalpur, Delhi"
161560,Super OYO Sree Homes,Super OYO Sree Homes,Visakhapatnam,Visakhapatnam,Andhra Pradesh,,"Visakhapatnam, Andhra Pradesh"
161562,OYO Hotel River View,OYO Hotel River View,Patna,Patna,Bihar,,"Patna, Bihar"
161564,OYO Home Etu Adventures Homestay,OYO Home Etu Adventures Homestay,Dalhousie,Dalhousie,Himachal Pradesh,,"Dalhousie, Himachal Pradesh"
161567,OYO 24*7 Hotel,OYO 24*7 Hotel,Ghaziabad,Ghaziabad,Uttar Pradesh,,"Ghaziabad, Uttar Pradesh"
161632,OYO Flagship 84218 Hotel Bankar House,OYO Flagship 84218 Hotel Bankar House,Ranjangaon,Ranjangaon,Maharashtra,,"Ranjangaon, Maharashtra"
